OBJECTID,District,Population_Density,Total_population,Area
1,Wong Tai Sin,43730,406802,9.302584038
2,Kowloon City,40994,410634,10.01692931
3,Kwun Tong,59704,673166,11.27505695
4,Sai Kung,3771,489037,129.6836383
5,North,2269,309631,136.4614368
6,Central & Western,18808,235953,12.54535304
7,Wan Chai,15791,166695,10.55632955
8,Eastern,29440,529603,17.98923234
9,Tuen Mun,5908,506879,85.79536222
10,Yuen Long,4825,668080,138.4621762
11,Southern,6779,263278,38.83729164
12,Islands,1021,185282,181.4711068
13,Sham Shui Po,46067,431090,9.357891766
14,Yau Tsim Mong,44458,310647,6.987426335
15,Kwai Tsing,21246,495798,23.33606326
16,Tsuen Wan,5168,320094,61.9376935
17,Tai Po,2325,316470,136.116129
18,Sha Tin,10082,692806,68.71711962